代码,total_weight,total_weight_pct,appear_in,159338成分股,159691成分股,159801成分股,159841成分股,159850成分股,510050成分股,510300成分股,512690成分股,512760成分股,513600成分股,513980成分股,515790成分股
000932.SZ,7.210583291533909e-05,0.0072,1,0.0008652699949840691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000983.SZ,7.146403294626291e-05,0.0071,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0008575683953551549,0.0,0.0,0.0,0.0,0.0
601233.SH,7.134939270539816e-05,0.0071,1,0.0008561927124647779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603816.SH,7.005612395937007e-05,0.007,1,0.0008406734875124409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300058.SZ,6.9885314879706e-05,0.007,1,0.0008386237785564719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601898.SH,6.938730036491858e-05,0.0069,1,0.0,0.0,0.0,0.0,0.0,0.0,0.000832647604379023,0.0,0.0,0.0,0.0,0.0
300438.SZ,6.927528245233424e-05,0.0069,1,0.000831303389428011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300999.SZ,6.893937765129524e-05,0.0069,1,0.0,0.0,0.0,0.0,0.0,0.0,0.000827272531815543,0.0,0.0,0.0,0.0,0.0
002405.SZ,6.866525002496249e-05,0.0069,1,0.00082398300029955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600141.SH,6.778680332954724e-05,0.0068,1,0.000813441639954567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002544.SZ,6.66155410689935e-05,0.0067,1,0.000799386492827922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300136.SZ,6.637152809804475e-05,0.0066,1,0.000796458337176537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600498.SH,6.627392290966532e-05,0.0066,1,0.000795287074915984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600637.SH,6.62495216125704e-05,0.0066,1,0.000794994259350845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600315.SH,6.617631772128583e-05,0.0066,1,0.00079411581265543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002407.SZ,6.612751512709609e-05,0.0066,1,0.0007935301815251531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300012.SZ,6.593230475033717e-05,0.0066,1,0.0007911876570040461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300457.SZ,6.524906843168083e-05,0.0065,1,0.00078298882118017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601677.SH,6.520026583749108e-05,0.0065,1,0.000782403190049893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605358.SH,6.505385805492182e-05,0.0065,1,0.000780646296659062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600521.SH,6.488304897525775e-05,0.0065,1,0.000778596587703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002831.SZ,6.4834246381068e-05,0.0065,1,0.0007780109565728161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300568.SZ,6.451702951883474e-05,0.0065,1,0.000774204354226017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000818.SZ,6.444382562755007e-05,0.0064,1,0.000773325907530601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600885.SH,6.363858282341941e-05,0.0064,1,0.0007636629938810329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002130.SZ,6.339456985247075e-05,0.0063,1,0.000760734838229649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300142.SZ,6.329696466409124e-05,0.0063,1,0.000759563575969095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
